PostId,title_length,body_length,num_subs_ans,percent_subs_ans,num_subs_t,percent_subs_t,popular_tag,avg_popularity,topic_relevance,response_time,label
18015,25,614,3.5,0.0299145299145299,9.0,0.109903381642512,2,217.0,28.203463203463205,945.8666666666668,0.0
18016,9,156,0.0,0.0,1.0,0.0555555555555555,1,32.0,2.32,229.0,0.0
18017,42,459,0.0,0.0,2.0,0.5,0,7.0,0.1826086956521739,25.633333333333333,1.0
18020,34,1757,16.0,0.0474777448071216,44.0,0.1305637982195845,1,1730.0,46.111111111111114,306.6666666666667,0.0
18021,26,2210,4.0,0.0269886363636363,20.0,0.1290246212121212,2,308.0,35.57142857142857,1337.4166666666667,0.0
18025,23,358,29.0,0.0769230769230769,59.0,0.156498673740053,1,1065.0,16.2875,109.16666666666669,1.0
18030,39,1191,9.0,0.0235042735042735,27.666666666666668,0.1231884057971014,3,598.3333333333334,108.63571428571427,1352.2666666666669,0.0
18031,32,298,4.0,0.0238095238095238,14.0,0.0833333333333333,1,351.0,5.6625000000000005,810.3333333333334,0.0
18039,23,260,14.75,0.0265843663212084,33.25,0.1266036464372377,4,770.75,296.5511982570806,1296.4166666666667,0.0
18040,14,941,12.0,0.0428072675454221,26.5,0.0950694691841824,2,876.0,219.58333333333334,73.6,1.0
18041,33,983,28.5,0.0724421209858103,51.5,0.1316473951224537,2,1213.5,55.1625,1420.4666666666667,0.0
18042,30,827,14.0,0.0339805825242718,24.0,0.235216240070609,1,688.5,40.19444444444444,36.583333333333336,1.0
18047,48,490,5.0,0.0294117647058823,34.0,0.2,1,311.0,9.589285714285714,129.45,1.0
18053,28,333,28.5,0.0578873473610315,48.0,0.1318837634627108,2,1309.5,273.53333333333336,19.05,1.0
18055,38,502,16.0,0.0474777448071216,44.0,0.1305637982195845,1,1730.0,46.111111111111114,237.61666666666667,0.0
18056,21,827,32.0,0.0801167615555341,44.5,0.1178953970857859,2,1974.5,406.59523809523813,62.05,1.0
18059,55,582,16.666666666666668,0.0392722919318664,40.333333333333336,0.1649011941565133,2,854.6666666666666,74.64268707482994,1270.4,0.0
18063,31,1916,12.0,0.0446096654275092,43.0,0.1598513011152416,1,615.0,255.0,606.2666666666667,0.0
18067,34,2593,15.5,0.0495014245014245,39.0,0.116096866096866,2,768.5,61.5,10.7,1.0
18069,13,509,18.0,0.0566037735849056,40.0,0.1257861635220125,1,1179.0,126.91666666666666,9.533333333333331,1.0
18071,74,291,13.0,0.0395893762376094,36.333333333333336,0.1174582472376231,3,1242.0,265.69444444444446,272.55,0.0
18079,26,638,20.75,0.0385104957473378,41.75,0.1474818695213432,3,1039.25,324.07484243697473,47.083333333333336,1.0
18082,20,432,29.0,0.0619658119658119,74.0,0.1581196581196581,1,1397.0,56.96666666666667,21.73333333333333,1.0
18084,9,198,16.0,0.0474777448071216,44.0,0.1305637982195845,1,1730.0,46.111111111111114,84.86666666666666,1.0
18088,20,332,14.5,0.0309829059829059,37.0,0.079059829059829,2,718.0,60.62051282051282,935.5833333333334,0.0
18093,35,1701,15.0,0.0452182952182952,34.5,0.1458169044375941,2,602.5,77.45416666666667,74.68333333333334,1.0
18094,31,478,7.0,0.0598290598290598,13.0,0.1111111111111111,1,351.0,23.047619047619047,298.6666666666667,0.0
18097,24,3470,5.5,0.0314285714285714,11.5,0.2361038961038961,1,286.0,19.852777777777778,57.3,1.0
18099,35,196,28.0,0.0679611650485436,44.0,0.1067961165048543,1,1362.0,38.875,493.8,0.0
18105,31,1343,18.0,0.0566037735849056,40.0,0.1257861635220125,1,1179.0,126.91666666666666,51.7,1.0
18111,31,340,18.0,0.0566037735849056,40.0,0.1257861635220125,1,1179.0,126.91666666666666,65.65,1.0
18114,23,306,28.5,0.0724421209858103,51.5,0.1316473951224537,2,1213.5,55.1625,255.33333333333331,0.0
18117,18,815,11.0,0.0628571428571428,19.0,0.1085714285714285,1,557.0,18.533333333333335,1172.3666666666666,0.0
18119,44,354,13.5,0.0513786961168507,27.0,0.0979266120413252,2,917.5,128.32500000000002,1317.9666666666667,0.0
18122,24,323,2.0,0.0204081632653061,11.0,0.1122448979591836,1,204.0,43.26785714285714,952.05,0.0
18130,48,4207,1.0,0.0769230769230769,3.0,0.2307692307692307,1,33.0,0.1826086956521739,226.33333333333331,0.0
18132,26,742,57.0,0.0788381742738589,78.0,0.1078838174273859,1,3653.0,345.42857142857144,21.05,1.0
18133,34,1797,19.0,0.0385915649073543,34.333333333333336,0.1586295796822112,3,885.6666666666666,292.06666666666666,141.65,1.0
18135,29,116,12.0,0.0379392212725546,31.33333333333333,0.1020892687559354,2,579.0,94.22666666666667,359.2333333333333,0.0
18139,25,323,11.0,0.059429028364257,26.33333333333333,0.0726151979102688,3,1016.6666666666666,202.0138888888889,926.2333333333332,0.0
18140,29,1984,8.0,0.0264436821040594,24.33333333333333,0.1100556425617951,3,567.0,165.00809523809522,185.6833333333333,0.0
18143,30,1437,4.666666666666667,0.0137659783677482,16.666666666666668,0.1503204914942222,2,328.3333333333333,25.80698529411765,186.46666666666667,0.0
18149,45,2131,10.333333333333334,0.0330009496676163,27.33333333333333,0.1115859449192782,3,530.0,76.05357142857143,306.95,0.0
18150,21,486,0.0,0.0,2.0,0.2,0,11.0,7.472222222222222,112.86666666666666,1.0
18154,21,463,3.5,0.0259259259259259,15.0,0.1407407407407407,2,231.0,60.52000000000001,158.83333333333334,1.0
18161,32,332,11.0,0.0418144208037825,24.0,0.1266252955082742,2,607.5,30.55357142857143,517.6833333333333,0.0
18162,30,224,18.0,0.0535819450137023,32.5,0.1098068938378929,4,874.5,314.6549019607843,11.3,1.0
18165,30,848,13.0,0.0395893762376094,36.333333333333336,0.1174582472376231,3,1242.0,265.69444444444446,34.88333333333333,1.0
18173,20,430,4.0,0.0465116279069767,26.0,0.3023255813953488,1,154.0,11.0,48.8,1.0
18177,30,1135,27.5,0.0412639707376549,55.0,0.1318837634627108,2,1386.5,264.48148148148147,115.96666666666668,1.0
18179,55,1514,28.5,0.0724421209858103,51.5,0.1316473951224537,2,1213.5,55.1625,715.1666666666666,0.0
18180,46,953,5.25,0.0249579232426766,20.25,0.108702633315862,4,432.25,249.17142857142858,985.4166666666666,0.0
18184,13,1192,1.0,0.0116279069767441,9.5,0.1643620364550597,2,105.5,73.52785714285714,1275.8,0.0
18186,24,3454,0.6666666666666666,0.0134259259259259,4.333333333333333,0.1002818035426731,3,82.33333333333333,48.0,435.8,0.0
18187,24,3941,10.0,0.0317663817663817,27.666666666666668,0.2527065527065527,2,486.3333333333333,113.93333333333334,17.616666666666667,1.0
18191,28,328,13.0,0.0530251911830859,30.5,0.1661605937921727,2,733.5,48.86785714285714,293.51666666666665,0.0
18194,22,928,8.5,0.0374033413180415,23.25,0.1083409346310851,4,658.75,439.1666666666667,390.1666666666667,0.0
18197,33,1266,25.75,0.0556152930565961,54.25,0.1323851709906298,4,1277.0,583.5278571428571,1435.2833333333333,0.0
18199,22,857,19.0,0.0262793914246196,38.0,0.1515168280313508,3,1318.0,360.3730158730159,1412.65,0.0
18200,33,474,12.0,0.0428072675454221,26.5,0.0950694691841824,2,876.0,219.58333333333334,186.16666666666663,0.0
18201,24,394,15.0,0.0622406639004149,42.0,0.1742738589211618,1,767.0,19.92,13.4,1.0
18206,37,1663,14.5,0.0309829059829059,38.0,0.1504884004884004,2,713.0,113.93333333333334,85.96666666666667,1.0
18208,35,676,16.0,0.0436889970918401,39.5,0.1089227968654032,2,1504.0,155.90277777777777,1078.2833333333333,0.0
18213,33,123,4.0,0.0238095238095238,14.0,0.0833333333333333,1,351.0,5.6625000000000005,577.3,0.0
18218,49,317,57.0,0.0788381742738589,78.0,0.1078838174273859,1,3653.0,345.42857142857144,64.45,1.0
18219,44,2019,6.4,0.017475598836736,17.4,0.0898894650665076,4,624.4,171.14861111111108,562.75,0.0
18223,53,614,8.5,0.0415960152607036,26.0,0.2081390419669351,2,929.5,92.22222222222223,104.61666666666666,1.0
18228,31,565,11.0,0.0402066486972147,27.0,0.1045597484276729,2,765.0,132.57916666666665,332.93333333333334,0.0
18234,47,11703,28.5,0.0724421209858103,51.5,0.1316473951224537,2,1213.5,55.1625,1198.4666666666667,0.0
18239,59,135,17.0,0.0511770538366283,41.66666666666666,0.1860652153205344,3,890.0,117.63134920634921,1397.1833333333334,0.0
